,,,,,Road,,,,Tower,,TimeZone,,,,,,,Mobile Count
4-Gnanadasa-Predeepa-EW,79.881132-6.913941-210,06:00:00#06:30:00,495,,0,0,0,,0,,0,0,0,0,0,,0.119346734,0.119346734
4-Gnanadasa-Predeepa-EW,79.881132-6.913941-210,06:30:00#07:00:00,1214,,0,0,0,,0,,0,0,0,0,1,,0.3,0.3
4-Gnanadasa-Predeepa-EW,79.881132-6.913941-210,07:00:00#07:30:00,1603,,0,0,0,,0,,0,0,0,1,0,,0.397738693,0.397738693
4-Gnanadasa-Predeepa-EW,79.881132-6.913941-210,07:30:00#08:00:00,1984,,0,0,0,,0,,0,0,0,1,1,,0.493467337,0.493467337
4-Gnanadasa-Predeepa-EW,79.881132-6.913941-210,08:00:00#08:30:00,2683,,0,0,0,,0,,0,0,1,0,0,,0.669095477,0.669095477
4-Gnanadasa-Predeepa-EW,79.881132-6.913941-210,08:30:00#09:00:00,3294,,0,0,0,,0,,0,0,1,0,1,,0.822613065,0.822613065
4-Gnanadasa-Predeepa-EW,79.881132-6.913941-210,09:00:00#09:30:00,3170,,0,0,0,,0,,0,0,1,1,0,,0.791457286,0.791457286
4-Gnanadasa-Predeepa-EW,79.881132-6.913941-210,09:30:00#10:00:00,3396,,0,0,0,,0,,0,0,1,1,1,,0.848241206,0.848241206
4-Gnanadasa-Predeepa-EW,79.881132-6.913941-210,10:00:00#10:30:00,3569,,0,0,0,,0,,0,1,0,0,0,,0.891708543,0.891708543
4-Gnanadasa-Predeepa-EW,79.881132-6.913941-210,10:30:00#11:00:00,3527,,0,0,0,,0,,0,1,0,0,1,,0.881155779,0.881155779
4-Gnanadasa-Predeepa-EW,79.881132-6.913941-210,11:00:00#11:30:00,3254,,0,0,0,,0,,0,1,0,1,0,,0.812562814,0.812562814
4-Gnanadasa-Predeepa-EW,79.881132-6.913941-210,11:30:00#12:00:00,3457,,0,0,0,,0,,0,1,0,1,1,,0.863567839,0.863567839
4-Gnanadasa-Predeepa-EW,79.881132-6.913941-210,12:00:00#12:30:00,3511,,0,0,0,,0,,0,1,1,0,0,,0.877135678,0.877135678
4-Gnanadasa-Predeepa-EW,79.881132-6.913941-210,12:30:00#13:00:00,3310,,0,0,0,,0,,0,1,1,0,1,,0.826633166,0.826633166
4-Gnanadasa-Predeepa-EW,79.881132-6.913941-210,13:00:00#13:30:00,3584,,0,0,0,,0,,0,1,1,1,0,,0.895477387,0.895477387
4-Gnanadasa-Predeepa-EW,79.881132-6.913941-210,13:30:00#14:00:00,3323,,0,0,0,,0,,0,1,1,1,1,,0.829899497,0.829899497
4-Gnanadasa-Predeepa-EW,79.881132-6.913941-210,14:00:00#14:30:00,3380,,0,0,0,,0,,1,0,0,0,0,,0.844221106,0.844221106
4-Gnanadasa-Predeepa-EW,79.881132-6.913941-210,14:30:00#15:00:00,3059,,0,0,0,,0,,1,0,0,0,1,,0.763567839,0.763567839
4-Gnanadasa-Predeepa-EW,79.881132-6.913941-210,15:00:00#15:30:00,2597,,0,0,0,,0,,1,0,0,1,0,,0.647487437,0.647487437
4-Gnanadasa-Predeepa-EW,79.881132-6.913941-210,15:30:00#16:00:00,1861,,0,0,0,,0,,1,0,0,1,1,,0.462562814,0.462562814
2-Gnanadasa-Predeepa-NW,79.877032-6.915083-330,06:00:00#06:30:00,72,,0,0,1,,0,,0,0,0,0,0,,0.013065327,0.013065327
2-Gnanadasa-Predeepa-NW,79.877032-6.915083-330,06:30:00#07:00:00,313,,0,0,1,,0,,0,0,0,0,1,,0.07361809,0.07361809
2-Gnanadasa-Predeepa-NW,79.877032-6.915083-330,07:00:00#07:30:00,582,,0,0,1,,0,,0,0,0,1,0,,0.14120603,0.14120603
2-Gnanadasa-Predeepa-NW,79.877032-6.915083-330,07:30:00#08:00:00,811,,0,0,1,,0,,0,0,0,1,1,,0.198743719,0.198743719
2-Gnanadasa-Predeepa-NW,79.877032-6.915083-330,08:00:00#08:30:00,804,,0,0,1,,0,,0,0,1,0,0,,0.196984925,0.196984925
2-Gnanadasa-Predeepa-NW,79.877032-6.915083-330,08:30:00#09:00:00,925,,0,0,1,,0,,0,0,1,0,1,,0.227386935,0.227386935
2-Gnanadasa-Predeepa-NW,79.877032-6.915083-330,09:00:00#09:30:00,791,,0,0,1,,0,,0,0,1,1,0,,0.193718593,0.193718593
2-Gnanadasa-Predeepa-NW,79.877032-6.915083-330,09:30:00#10:00:00,847,,0,0,1,,0,,0,0,1,1,1,,0.207788945,0.207788945
2-Gnanadasa-Predeepa-NW,79.877032-6.915083-330,10:00:00#10:30:00,1052,,0,0,1,,0,,0,1,0,0,0,,0.259296482,0.259296482
2-Gnanadasa-Predeepa-NW,79.877032-6.915083-330,10:30:00#11:00:00,1460,,0,0,1,,0,,0,1,0,0,1,,0.361809045,0.361809045
2-Gnanadasa-Predeepa-NW,79.877032-6.915083-330,11:00:00#11:30:00,1325,,0,0,1,,0,,0,1,0,1,0,,0.327889447,0.327889447
2-Gnanadasa-Predeepa-NW,79.877032-6.915083-330,11:30:00#12:00:00,1415,,0,0,1,,0,,0,1,0,1,1,,0.350502513,0.350502513
2-Gnanadasa-Predeepa-NW,79.877032-6.915083-330,12:00:00#12:30:00,1513,,0,0,1,,0,,0,1,1,0,0,,0.375125628,0.375125628
2-Gnanadasa-Predeepa-NW,79.877032-6.915083-330,12:30:00#13:00:00,1581,,0,0,1,,0,,0,1,1,0,1,,0.392211055,0.392211055
2-Gnanadasa-Predeepa-NW,79.877032-6.915083-330,13:00:00#13:30:00,1516,,0,0,1,,0,,0,1,1,1,0,,0.375879397,0.375879397
2-Gnanadasa-Predeepa-NW,79.877032-6.915083-330,13:30:00#14:00:00,1568,,0,0,1,,0,,0,1,1,1,1,,0.388944724,0.388944724
2-Gnanadasa-Predeepa-NW,79.877032-6.915083-330,14:00:00#14:30:00,1269,,0,0,1,,0,,1,0,0,0,0,,0.313819095,0.313819095
2-Gnanadasa-Predeepa-NW,79.877032-6.915083-330,14:30:00#15:00:00,387,,0,0,1,,0,,1,0,0,0,1,,0.092211055,0.092211055
2-Gnanadasa-Predeepa-NW,79.877032-6.915083-330,15:00:00#15:30:00,246,,0,0,1,,0,,1,0,0,1,0,,0.05678392,0.05678392
2-Gnanadasa-Predeepa-NW,79.877032-6.915083-330,15:30:00#16:00:00,193,,0,0,1,,0,,1,0,0,1,1,,0.043467337,0.043467337
2-Gnanadasa-Predeepa-NW,79.8765-6.91605-250,06:00:00#06:30:00,134,,0,0,1,,1,,0,0,0,0,0,,0.028643216,0.028643216
2-Gnanadasa-Predeepa-NW,79.8765-6.91605-250,06:30:00#07:00:00,512,,0,0,1,,1,,0,0,0,0,1,,0.12361809,0.12361809
2-Gnanadasa-Predeepa-NW,79.8765-6.91605-250,07:00:00#07:30:00,952,,0,0,1,,1,,0,0,0,1,0,,0.234170854,0.234170854
2-Gnanadasa-Predeepa-NW,79.8765-6.91605-250,07:30:00#08:00:00,1095,,0,0,1,,1,,0,0,0,1,1,,0.270100503,0.270100503
2-Gnanadasa-Predeepa-NW,79.8765-6.91605-250,08:00:00#08:30:00,1834,,0,0,1,,1,,0,0,1,0,0,,0.455778894,0.455778894
